data,construction,topSingle,topFixed,midSingle,midFixed,bottomSingle,bottomFixed
DNA_512,0,0,-1,0,-1,0,-1
DNA_8192,0,0,-1,0,-1,0,-1
DNA_16384,0,0,-1,0,-1,0,-1
DNA_262144,0,5,-1,0,-1,6,-1
DNA_524288,0,5,-1,1,-1,2,-1
DNA_1048576,0,31,-1,7,-1,63,-1
proteins_1048576,0,17,-1,2,-1,7,-1
realDNA_1048576,0,25,-1,6,-1,5,-1
english_1048576,0,3,-1,1,-1,15,-1
DNA_2097152,0,59,-1,5,-1,86,-1
proteins_2097152,0,14,-1,11,-1,18,-1
realDNA_2097152,0,46,-1,14,-1,5,-1
english_2097152,0,11,-1,12,-1,24,-1
DNA_4194304,0,136,-1,17,-1,16,-1
proteins_4194304,0,28,-1,11,-1,45,-1
realDNA_4194304,0,139,-1,29,-1,193,-1
english_4194304,0,25,-1,14,-1,62,-1
DNA_8388608,0,289,-1,51,-1,59,-1
proteins_8388608,0,65,-1,32,-1,114,-1
realDNA_8388608,0,338,-1,59,-1,70,-1
english_8388608,0,106,-1,59,-1,333,-1
DNA_16777216,0,3410,-1,3133,-1,130,-1
proteins_16777216,0,2306,-1,1518,-1,2711,-1
realDNA_16777216,0,3165,-1,881,-1,351,-1
english_16777216,0,1434,-1,1687,-1,4399,-1
