data,dataLength,construction,topSingle,topVariable,midSingle,midVariable,bottomSingle,bottomVariable
DNA,512,2,0,0,0,0,0,0
DNA,8192,1,0,6,0,0,0,0
DNA,16384,10,0,2,0,0,0,0
DNA,262144,25,0,113,0,1,0,0
DNA,524288,49,0,203,0,1,0,1
DNA,1048576,108,0,590,0,5,0,3
proteins,1048576,60,0,61,0,4,0,0
realDNA,1048576,113,0,824,0,3,0,12
english,1048576,70,0,0,0,5,0,0
DNA,2097152,262,0,1855,1,8,1,6
proteins,2097152,131,0,128,0,11,1,1
realDNA,2097152,256,0,2073,1,8,0,32
english,2097152,263,0,0,0,25,1,2
DNA,4194304,840,2,20573,31,121,32,118
proteins,4194304,271,1,351,1,5,3,4
realDNA,4194304,1423,12,21093,58,543,168,2321
english,4194304,338,1,2,1,39,6,10
