english,256,7080,99710,8710,3190
realDNA,256,50,113720,6440,3330
DNA,256,40,61140,9440,4750
proteins,256,40,16160,5500,3140
english,512,80,35880,5740,5270
DNA,512,50,71670,4210,3520
realDNA,512,60,65670,5120,2020
proteins,512,50,20860,2330,1650
DNA,1024,80,245320,3120,3220
english,1024,70,57370,3680,2680
realDNA,1024,140,140880,2990,1950
proteins,1024,70,76170,2920,2040
english,2048,90,51220,4680,2390
DNA,2048,180,214610,10000,3710
realDNA,2048,130,592810,6370,5680
proteins,2048,110,47790,2120,1810
english,4096,110,276810,7810,51180
DNA,4096,140,1106490,6100,4650
realDNA,4096,200,496240,5380,3040
proteins,4096,70,997990,2610,2730
english,8192,150,1212190,6030,5370
realDNA,8192,160,2502070,4870,3190
DNA,8192,170,1831450,7370,5240
proteins,8192,180,575740,7070,7260
proteins,16384,140,862980,6260,7700
realDNA,16384,140,4101720,30660,10560
DNA,16384,130,4372780,14050,19370
english,16384,150,166870,7540,98260
DNA,32768,150,3364800,16540,11530
english,32768,150,250750,13640,17100
realDNA,32768,170,3880040,11290,11130
proteins,32768,200,2526950,11130,6920
english,65536,130,4762200,22460,188020
realDNA,65536,1540,12630810,32070,30260
DNA,65536,80,12822060,14300,18940
proteins,65536,70,2753500,34250,31260
DNA,131072,70,10027050,38310,34310
proteins,131072,80,12389490,69450,30820
realDNA,131072,80,26073190,47720,38680
english,131072,80,1621360,30510,37150
proteins,262144,70,18338500,103520,71790
realDNA,262144,60,85409270,67260,67930
DNA,262144,90,19253590,80170,92720
english,262144,90,25380800,15320,196280
proteins,524288,80,63471460,217100,246760
realDNA,524288,70,43768190,272990,102300
DNA,524288,80,48431960,64950,214080
english,524288,90,1431290,127660,85110
