data,length,construction,dptop,dpmid,dpbot
english,256,25280,34220,10460,8570
realDNA,256,180,2270,2410,2240
DNA,256,330,5510,5690,6580
proteins,256,290,2380,4910,6960
english,512,270,2060,1700,720
DNA,512,380,4420,3970,5020
realDNA,512,400,8430,6020,5570
proteins,512,390,2770,1550,1280
DNA,1024,320,10230,3650,3430
english,1024,370,6780,3430,2980
realDNA,1024,260,15380,8370,5790
proteins,1024,330,4980,3710,3000
english,2048,2030,4600,4050,3220
DNA,2048,330,18250,10130,9070
realDNA,2048,280,26830,24080,24750
proteins,2048,420,7200,9180,4920
english,4096,230,6390,5150,4850
DNA,4096,330,55550,59320,53740
realDNA,4096,130,50360,41160,39900
proteins,4096,480,13980,13860,10580
english,8192,170,20390,20940,12420
realDNA,8192,180,151140,140260,159310
DNA,8192,210,129040,176110,145310
proteins,8192,210,364770,25600,23030
proteins,16384,170,67580,68030,81400
realDNA,16384,170,225870,228330,226420
DNA,16384,200,290960,255560,267300
english,16384,170,54150,62870,70130
DNA,32768,210,506210,472680,473450
english,32768,200,118190,131550,113170
realDNA,32768,180,471790,495430,488580
proteins,32768,340,132970,137850,137050
english,65536,930,213730,231980,294970
realDNA,65536,110,963210,993020,1030210
DNA,65536,110,981210,997220,998000
proteins,65536,90,269910,294860,288330
DNA,131072,150,2128510,2221070,2189290
proteins,131072,110,503840,551940,619760
realDNA,131072,160,2172500,2205930,2192300
english,131072,110,440810,475320,481260
proteins,262144,90,1055080,1285450,1108020
realDNA,262144,90,4304880,4416710,4270470
DNA,262144,170,4306270,4360960,4363020
english,262144,60,976070,1190700,1140290
proteins,524288,110,2240140,2481860,2377610
realDNA,524288,120,9909830,9907410,9523910
DNA,524288,140,9042700,9132110,9214660
english,524288,120,1971590,2074820,2068470
proteins,1048576,120,4767630,5137270,4678000
realDNA,1048576,170,20086720,20271440,19627950
DNA,1048576,140,19194880,19010810,18656250
english,1048576,130,4016260,4384220,4266200
proteins,2097152,230,10141960,11346250,12259850
realDNA,2097152,110,43695720,43149700,42273360
DNA,2097152,240,39923180,39770080,39628670
english,2097152,180,8839310,10604420,8918230
proteins,4194304,980,19853490,21118880,20949530
DNA,4194304,650,85804660,88190420,87728390
realDNA,4194304,3160,93422730,95445920,91562090
english,4194304,960,31110030,24076050,22390170
proteins,8388608,26160,75267350,164604770,119959180
