data,length,construction,sptop,spmid,spbot,dptop,dpmid,dpbot
english,256,2598,31,0,0,21,2,0
realDNA,256,131,0,0,0,1,3,1
DNA,256,55,0,0,218,2,0,0
proteins,256,53,0,0,0,0,0,0
english,512,82,0,0,0,1,0,1
DNA,512,74,0,0,0,2,0,0
realDNA,512,93,0,0,0,3,0,1
proteins,512,96,0,1,0,1,0,0
DNA,1024,114,0,0,0,4,0,2
english,1024,89,0,1,0,2,1,0
realDNA,1024,223,0,0,0,6,0,31
proteins,1024,114,0,0,0,2,1,0
english,2048,156,0,0,1,6,1,1
DNA,2048,134,0,0,0,8,0,0
realDNA,2048,280,0,2,0,13,1,0
proteins,2048,112,0,0,0,2,0,0
english,4096,327,0,1,0,22,1,5
DNA,4096,447,0,0,0,20,1,122
realDNA,4096,285,0,0,0,16,1,0
proteins,4096,149,0,0,0,3,1,0
english,8192,382,0,3,0,32,0,5
realDNA,8192,666,0,0,1,52,6,0
DNA,8192,611,0,0,0,30,1,0
proteins,8192,265,0,1,0,10,3,0
proteins,16384,952,0,0,0,19,1,0
realDNA,16384,1539,0,0,2,71,2,1
DNA,16384,1879,0,2,0,110,1,0
english,16384,2054,0,2,0,38,1,5
DNA,32768,2446,0,0,1,151,6,0
english,32768,13740,0,3,0,88,1,4
realDNA,32768,3076,0,0,0,148,8,2
proteins,32768,1202,0,0,0,38,2,0
english,65536,14058,0,0,0,158,5,5
realDNA,65536,30231,0,3,0,275,2,4
DNA,65536,13991,0,0,1,263,70,0
proteins,65536,3862,0,7,0,83,2,0
DNA,131072,20329,0,0,2,852,8,1
proteins,131072,5614,0,0,0,714,5,0
realDNA,131072,17210,0,0,0,697,9,10
english,131072,9251,0,0,0,309,13,9
proteins,262144,29188,0,0,0,324,23,0
realDNA,262144,38820,0,6,0,1565,6,16
DNA,262144,33656,0,0,4,1165,104,3
english,262144,31091,0,1,0,615,11,12
proteins,524288,42877,0,1,1,995,57,1
realDNA,524288,96645,0,0,0,4291,913,67
DNA,524288,84536,0,8,7,3296,7,6
english,524288,84029,0,15,0,1429,684,37
proteins,1048576,169442,1,1,3,1664,1089,5
realDNA,1048576,980142,0,12,0,29562,18,154
DNA,1048576,144937,0,14,13,5716,21,22
english,1048576,161343,6,21,5,6,22,3
proteins,2097152,319534,0,23,5,6837,22,4
realDNA,2097152,580854,0,19,0,47098,21,376
DNA,2097152,1019872,0,1,0,57671,54,93
english,2097152,370536,8,5,7,9,65,13
proteins,4194304,966149,5,98,29,21995,52,7
DNA,4194304,1095629,0,0,0,76858,670,141
realDNA,4194304,2672409,0,356,1,84352,69,1564
english,4194304,661093,6,2,7040,10,96,5
