data,length,construction,top,mid,bot,topCount,midCount,botCount
english,256,53068,67,0,0,67,0,0
realDNA,256,11476,0,0,0,67,0,0
DNA,256,2587,0,0,0,67,0,0
proteins,256,9756,0,1,0,67,0,0
english,512,113024,0,0,0,67,0,0
DNA,512,64304,0,0,0,67,0,0
realDNA,512,148756,0,0,0,67,0,0
proteins,512,117036,0,0,0,67,0,0
DNA,1024,569474,0,0,0,67,0,0
english,1024,655206,0,0,0,67,0,0
realDNA,1024,619318,0,0,0,67,0,0
proteins,1024,734359,0,0,0,67,0,0
english,2048,8106375,0,0,0,67,0,0
DNA,2048,4831905,0,0,0,67,0,0
realDNA,2048,6038834,0,0,0,67,0,0
proteins,2048,5598477,0,0,0,67,0,0
